Date,Step Count,Distance (m),Calories Burned(cal x 10)
2022-11-05,7654,3555.82781,4479.89
2022-11-06,8715,4046.65987,3698.21
2022-11-07,7913,3708.377732,4220.63
2022-11-08,9035,4366.113179,4314.15
2022-11-09,20347,9163.30247,6152.85
2022-11-10,18009,8477.886972,5676.72
2022-11-11,15058,6495.83486,5362.7
2022-11-12,1506,674.301577,557.23
2022-11-13,8412,3950.21681,3924.78
2022-11-14,9922,4725.875276,4731.39
2022-11-15,9111,4330.32668,4834.27
2022-11-16,17713,7973.99234,5707.27
2022-11-17,14881,7159.11857,5368.4
2022-11-18,12459,5674.733967,5170.36
2022-11-19,15526,7128.52802,6518.12
2022-11-20,10959,5076.924338,3691.08
2022-11-21,4101,1692.46874,2500.33
2022-11-22,8872,3931.917035,3902.08
2022-11-23,10001,4432.47102,4706.75
2022-11-24,9700,4337.70485,4371.04
2022-11-25,15498,7457.513126,5902.74
2022-11-26,7326,3321.5814,4095.06
2022-11-27,4650,2134.964036,3278.67
2022-11-28,6356,2957.803249,4535.61
2022-11-29,13013,6127.090072,5312.69
2022-11-30,17946,8095.49386,6022.62
2022-12-01,17007,7937.098733,6193.77
2022-12-02,18452,8231.205549,5345.31
2022-12-03,10003,4590.08438,4333.38
2022-12-04,11012,5099.635081,4501.37
2022-12-05,6883,3014.98074,1966.1
2022-12-06,8495,4233.531763,3977.6
2022-12-07,9885,4424.9649,4189.76
2022-12-08,16283,7644.466734,5664.62
2022-12-09,16097,7657.404714,5369.73
2022-12-10,18665,8296.140194,6293.87
2022-12-11,8923,4151.90363,4271.27
2022-12-12,2595,1173.023456,3749.99
2022-12-13,4657,2129.90519,5274.33
2022-12-14,5641,2660.534465,3922.81
2022-12-15,10903,5041.714007,5067.81
2022-12-16,14187,6234.65978,5238.91
2022-12-17,11342,4945.899753,4596.85
2022-12-18,5734,2482.915685,2582.94
2022-12-19,4346,1979.576522,3313.7
2022-12-20,7502,3454.00687,3027.16
2022-12-21,7141,3226.457189,4333.23
2022-12-22,9821,4539.718282,5206.06
2022-12-23,6066,2793.161821,3194.94
2022-12-24,3108,1410.13355,2611.3
2022-12-25,7947,3648.264577,4396.61
2022-12-26,5698,2587.247664,3984.44
2022-12-27,12189,5615.443649,4720.83
2022-12-28,18384,8270.23429,5682.78
2022-12-29,14558,6500.73594,4899.38
2022-12-30,14234,6460.197735,5667.79
